CLASS,RITUAL,LEVEL,COST,LOCATION,DESCRIPTION
Bakemono,Lesser Ritual,-,20 Sac,Anywhere,Grants the caster a new first level ritual.
Bakemono,Ritual of Mastery,-,60 Sac,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Bakemono,Grand Ritual,-,240 Sac,Anywhere,"Grants the caster a new third level ritual. If the caster is currently unable to cast thirs level rituals, it will be leveled up as well."
Bakemono,Summon Lesser Beings,1,20 Sac,Land ,"Will summon and try to take control over a group of magic beings of the wild. Most of them have some magical kind of ability. The more sacrifices used, the greater the chance of success."
Bakemono,Summon Lesser Oni,1,30 Sac,Land ,Oni are evil demons and this ritual will summon them and then try to control them. The more sacrifices used the greater the chance of success.
Bakemono,Make Effigy,1,5 Sac; 5 HMND_Corpses; 2 AP,Land ,The bones from a few Corpses are carefully arranged on a wooden structure before performing this time consuming ritual. When the ritual is completed the bones have been turned into a simple magical construct called an Effigy. The Effigy is able to cast spells to defend the area it is placed in.
Bakemono,Summon Greater Beings,2,100 Sac,Land ,"Will summon and try to take control over one or more magic beings of the wild. Some of these are physically powerful, others are skilled in magic. The more sacrifices used, the greater the chance of success."
Bakemono,Summon Oni,2,100 Sac,Land ,Oni are evil demons and this ritual will summon them and then try to control them. The more sacrifices used the greater the chance of success.
Bakemono,Mountain Lair,2,25 Sac; 50 Iron,Greater Mines,"Turns an ordinary Mine into a Mountain Lair where the Bakemono can thrive. Mountain Lairs will produce twice as many Bakemonos, have some rudimentary walls for defence and will count as a Citadel location."
Bakemono,Summon King,3,300 Sac,Land ,"Will summon and try to take control over a King and his guards. The more sacrifices used, the greater the chance of success."
Barbarian,Lesser Ritual,-,50 Herb,Anywhere,Grants the caster a new first level ritual.
Barbarian,Ritual of Mastery,-,150 Herb,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Barbarian,Grand Ritual,-,600 Herb,Ancient Forests; Old Battlefields,"Grants the caster a new third level ritual. If the caster is currently unable to cast thirs level rituals, it will be leveled up as well."
Barbarian,Summon Ancestor,1,50 Herb,Land ,The Spirit Guide builds a sweat lodge and burns aromatic herbs to attract the attention of an ancestral spirit of his tribe. The spirit manifests as a Spectral Warriro ready to aid his descendants in battles.
Barbarian,Make Effigy,1,20 Herb; 5 HMND_Corpses; 2 AP,Land ,The bones from a few Corpses are carefully arranged on a wooden structure before performing this time consuming ritual. When the ritual is completed the bones have been turned into a simple magical construct called an Effigy. The Effigy is able to cast spells to defend the area it is placed in.
Barbarian,Pierce the Veil of Death,1,20 Herb,Anywhere,"A Necromancer or Spirit Guide can get a glimpse of the world of the dead, also known as Hades. The world of Hades is the same as Elysium, but it is populated by the spirts of those who have died and instead of the green, lush nature in Elysium everthing is dead. Certain powerful undead can plane shift to Hades and this spell can be useful to find a safe spot to do so, because the spirits of the dead do not appreciate visitors."
Barbarian,Sending,1,50 Herb,Anywhere,The Spirit Guide summons an ancestral spirit and sends it out to explore his surroundings. The Sending is invisible and can only be attacked by those endowed with Spirit Sight. The Sending cannot be directly controlled and acts on its own whims.
