SCHOOL,SPELL,LEVEL,RANGE,MAGIC,AFFECTS,NO AFFECT,IGNORE AR,PRIMARY,AOE,NEGATION,xEFFECT,xAOE,xNEGATION,SPECIAL,SLOW,SCATTER,DESCRIPTION
Alchemy,Cold Resistance,1,6,Y,-,-,-,Cold Resistance (100),Burst 5,-,-,-,-,-,-,-,Cold Damage reduced by 100%
Alchemy,Fire Resistance,1,6,Y,-,-,-,Fire Resistance (100),Burst 5,-,-,-,-,-,-,-,Fire Damage reduced by 100%
Alchemy,Strength,1,8,Y,-,-,-,Strength +2,Burst 3,-,-,-,-,-,-,-,
Alchemy,Acid Cloud,2,6,Y,-,-,Y,Acid 1-2,Burst 9,-,-,-,-,-,-,-,
Alchemy,Ironskin,2,8,Y,-,Ethereal,-,Armor +2,Single,-,-,-,-,-,-,-,
Alchemy,Regeneration,2,8,Y,-,Lifeless,-,Regeneration,Single,-,-,-,-,-,-,-,The unit heals roughly 10% of its HP every combat round
Alchemy,Toughness,2,8,Y,-,Ethereal,-,Slash/Blunt/ Pierce Resistance,Single,-,-,-,-,-,-,-,"Half Damage from Slashing, Blunt, and Piercing weapons"
Alchemy,Acid Mist,3,8,Y,-,-,Y,Acid 1-2,Burst 25,-,-,-,-,-,-,-,
Alchemy,Flesh is Stronger,3,8,Y,-,Ethereal,-,"Fire Resistance (100), Regeneration, Armor +2, Slash/Blunt/ Pierce Resistance",-,-,-,-,-,-,-,-,"All Friendly Units have Fire Damage reduced by 100%; The unit heals roughly 10% of its HP every combat round; Half Damage from Slashing, Blunt, and Piercing weapons"
Astrology,Confusion,1,8,Y,-,Mindless,-,Confusion,Single,MR 2d4,-,-,-,-,-,-,Confused units do nothing (50% chance) or switch sides (10% chance) or move in a random direction instead of advancing (75%)
Astrology,Mind Burn,1,10,Y,-,Mindless,Y,Magic 1-11,Single,(gd) MR 2d6,-,-,-,-,-,-,
Astrology,Moonlight,1,10,Y,Only Enemy,Mindless (xEffect only),Y,Magic 1-3,Single,-,Confusion,Single,MR 2d4 (reg),-,-,-,Confused units do nothing (50% chance) or switch sides (10% chance) or move in a random direction instead of advancing (75%)
Astrology,Paralyze,1,10,Y,-,-,-,Paralyzation,Single,MR 2d4,-,-,-,-,-,-,Paralyzed units are immobilized and cannot do anything until the effect wears off. (10% chance each combat round)
Astrology,Reading the Stars,1,8,Y,Only Friendly,-,-,Luck,2 strikes,-,-,-,-,-,-,-,50% chance of not taking any Damage from an attack
Astrology,Starlight,1,10,Y,-,-,Y,Magic 1-5,Single,-,Paralyzation,-,(ez) MR 1d5,-,-,-,Paralyzed units are immobilized and cannot do anything until the effect wears off. (10% chance each combat round)
Astrology,Twist Fate,1,8,Y,Only Friends,-,-,Twist Fate,Single,-,-,-,-,-,-,-,The Twist Fate effect will prevent the first successful attack against the unit
Astrology,Words of the Void,1,4,Y,-,Mindless,-,Stun,3 strikes,MR 2d4,-,-,-,-,-,-,Stunned units are immobilized and cannot do anything until they recover. Stunned units have a 75% chance of recovering every round
Astrology,Foresight,2,8,Y,Only Friendly,-,-,Luck,5 strikes,-,-,-,-,-,-,-,50% chance of not taking any Damage from an attack
Astrology,Invade Mind,2,10,Y,-,Mindless,-,Enslave,Single,MR 2d4,-,-,-,-,-,-,Enslaved units immediately switch sides and attack their former comrades
Astrology,Mental Overload,2,8,Y,Only Enemy,Mindless,-,Confusion,4 strikes,MR 2d4,-,-,-,-,-,-,Confused units do nothing (50% chance) or switch sides (10% chance) or move in a random direction instead of advancing (75%)
Astrology,Meteor,2,15,Y,-,-,-,Blunt 1-50,Single,-,Fire 1-8,Burst 5,-,x5 damage vs Walls (Primary only),Y,Y,
Astrology,Moonbeams,2,10,Y,Only Enemy,Mindless (xEffect only),Y,Magic 1-3,Burst 9,-,Confusion,Single,MR 2d4 (reg),-,-,-,Confused units do nothing (50% chance) or switch sides (10% chance) or move in a random direction instead of advancing (75%)
Astrology,Rewrite Fate,2,8,Y,Only Friends,-,-,Twist Fate,Burst 9,-,-,-,-,-,-,-,The Twist Fate effect will prevent the first successful attack against the unit
Astrology,Soul Slay,2,10,Y,-,Mindless,Y,Magic 1-999,Single,(gd) MR 2d6,Paralyzation,-,MR 2d4 (reg),-,-,-,Paralyzed units are immobilized and cannot do anything until the effect wears off. (10% chance each combat round)
Astrology,Star Showers,2,10,Y,-,-,Y,Magic 1-10,5 strikes,-,Paralyzation,-,MR 2d4,-,-,-,Paralyzed units are immobilized and cannot do anything until the effect wears off. (10% chance each combat round)
Astrology,Great Foretelling,3,8,Y,Only Friendly,-,-,Luck,Burst 25,-,-,-,-,-,-,-,50% chance of not taking any Damage from an attack
Astrology,Lunar Brilliance,3,10,Y,Only Enemy,Mindless (xEffect only),Y,Magic 1-3,Burst 25,-,Confusion,Single,MR 2d4 (reg),-,-,-,Confused units do nothing (50% chance) or switch sides (10% chance) or move in a random direction instead of advancing (75%)
Astrology,Mental Hold,3,6,Y,-,-,-,Paralyzation,Burst 25,(ez) MR 1d5,-,-,-,-,-,-,Paralyzed units are immobilized and cannot do anything until the effect wears off. (10% chance each combat round)
Astrology,Meteor Showers,3,0,Y,-,-,-,Blunt 1-40,15% of battlefield,-,Fire 1-8,Burst 5,-,x5 damage vs Walls (Primary only),Y,-,
Astrology,Mind Vortex,3,0,Y,-,-,-,Paralyzation,Entire Battlefield,(ez) MR 1d5,-,-,-,-,-,-,Paralyzed units are immobilized and cannot do anything until the effect wears off. (10% chance each combat round)
Beast Wards,Befriend Animal,1,5,Y,Only Animals; Only Enemy,Mindless,-,Charm,Single,(ez) MR 1d5,-,-,-,-,-,-,Charmed units immediately switch sides and attack their former comrades
Beast Wards,Summon Crows,1,10,Y,-,-,-,Summon,-,-,-,-,-,1 Murder of Crows,-,-,A maximum of about 200 Murder of Crows can be summoned in a single battle
Beast Wards,Summon Snake,1,3,Y,-,-,-,Summon,-,-,-,-,-,1 Snake,-,-,A maximum of about 50 Snakes can be summoned in a single battle
Beast Wards,Summon Wolf,1,E,Y,-,-,-,Summon,-,-,-,-,-,1 Wolf,-,-,A maximum of about 40 Wolves can be summoned in a single battle
Beast Wards,Command Beasts,2,6,Y,Only Animals; Only Enemy,Mindless,-,Charm,Burst 9,(ez) MR 1d5,-,-,-,-,-,-,Charmed units immediately switch sides and attack their former comrades
Beast Wards,Summon Great Boar,2,E,Y,-,-,-,Summon,-,-,-,-,-,1 Great Boar,-,-,A maximum of about 25 Great Boars can be summoned in a single battle; CANNOT be cast at sea
Beast Wards,Summon Murder of Crows,2,10,Y,-,-,-,Summon,-,-,-,-,-,1-3 Murder of Crows,-,-,A maximum of about 200 Murder of Crows can be summoned in a single battle
Beast Wards,Summon Serpent,2,E,Y,-,-,-,Summon,-,-,-,-,-,1 Serpent,-,-,A maximum of about 25 Serpents can be summoned in a single battle; CANNOT be cast at sea
Beast Wards,Summon Wolves,2,E,Y,-,-,-,Summon,-,-,-,-,-,1-3 Wolves,-,-,A maximum of about 40 Wolves can be summoned in a single battle
Beast Wards,Army of Boars,3,E,Y,-,-,-,Summon,-,-,-,-,-,1-4 Great Boars,-,-,A maximum of about 25 Great Boars can be summoned in a single battle; CANNOT be cast at sea
Beast Wards,Army of Crows,3,10,Y,-,-,-,Summon,-,-,-,-,-,1-13 Murder of Crows,-,-,A maximum of about 200 Murder of Crows can be summoned in a single battle
Beast Wards,Army of Wolves,3,E,Y,-,-,-,Summon,-,-,-,-,-,1-10 Wolves,-,-,A maximum of about 40 Wolves can be summoned in a single battle
Bile Magic,Animate Mushroom,1,6,Y,-,-,-,Animate Mushroom,Single,-,-,-,-,-,-,-,
Bile Magic,Poison Bolt,1,6,Y,-,-,Y,Poison 1-8,3 strikes,-,-,-,-,-,-,-,
Bile Magic,Poison Cloud,1,6,Y,-,-,Y,Poison 1-5,Burst 5,-,-,-,-,-,-,-,
Bile Magic,Poison Goo,1,6,Y,-,-,Y,Poison 1-6,2 strikes,-,Slime,-,STR 2d4,-,-,-,*
Bile Magic,Summon Frog,1,3,Y,-,-,-,Summon,-,-,-,-,-,1-3 Frogs,-,-,A maximum of about 200 Frogs can be summoned in a single battle
Bile Magic,Summon Snake,1,3,Y,-,-,-,Summon,-,-,-,-,-,1 Snake,-,-,A maximum of about 50 Snakes can be summoned in a single battle
Bile Magic,Venom,1,6,Y,-,-,Y,Poison 1-26,Single,-,-,-,-,-,-,-,
Bile Magic,Pit of Snakes,2,3,Y,-,-,-,Summon,-,-,-,-,-,1-3 Snakes,-,-,A maximum of about 50 Snakes can be summoned in a single battle
Bile Magic,Poison Darts,2,6,Y,-,-,Y,Poison 1-6,9 strikes,-,-,-,-,-,-,-,
Bile Magic,Poison Mist,2,8,Y,-,-,Y,Poison 1-8,Burst 25,-,-,-,-,-,-,-,
Bile Magic,Summon Giant Toad,2,E,Y,-,-,-,Summon,-,-,-,-,-,1 Giant Toad,-,-,A maximum of about 15 Giant Toads can be summoned in a single battle
Bile Magic,Summon Serpent,2,E,Y,-,-,-,Summon,-,-,-,-,-,1 Serpent,-,-,A maximum of about 25 Serpents can be summoned in a single battle; CANNOT be cast at sea
Bile Magic,Venomous Death,2,6,Y,-,-,Y,Poison 1-60,Single,-,-,-,-,-,-,-,
Bile Magic,Animate Swamp,3,0,Y,-,-,-,Animate Swamp,Entire Battlefield,-,-,-,-,-,-,-,
Bile Magic,Deadly Fumes,3,10,Y,-,-,Y,Poison 1-6,Burst 100,-,-,-,-,-,-,-,
Bile Magic,Green Death,3,8,Y,-,-,Y,Poison 1-22,Burst 25,-,-,-,-,-,-,-,
Bile Magic,Summon Giant Toads,3,E,Y,-,-,-,Summon,-,-,-,-,-,1-6 Giant Toads,-,-,A maximum of about 15 Giant Toads can be summoned in a single battle
Bile Magic,Summon Serpents,3,E,Y,-,-,-,Summon,-,-,-,-,-,1-5 Serpents,-,-,A maximum of about 25 Serpents can be summoned in a single battle; CANNOT be cast at sea
Black Magic,Confusion,1,8,Y,-,Mindless,-,Confusion,Single,MR 2d4,-,-,-,-,-,-,Confused units do nothing (50% chance) or switch sides (10% chance) or move in a random direction instead of advancing (75%)
Black Magic,Decay,1,8,Y,-,-,-,Decay,Single,MR 2d4,-,-,-,-,-,-,"Units suffering from Decay take 1 point of Damage per combat round until they die. Decay can usually not be survived, but after the battle has ended the effect will run out eventually"
Black Magic,Paralyze,1,10,Y,-,-,-,Paralyzation,Single,MR 2d4,-,-,-,-,-,-,Paralyzed units are immobilized and cannot do anything until the effect wears off. (10% chance each combat round)
Black Magic,Cloud of Death,2,10,Y,-,-,-,Decay,Burst 25,MR 2d4,-,-,-,-,-,-,"Units suffering from Decay take 1 point of Damage per combat round until they die. Decay can usually not be survived, but after the battle has ended the effect will run out eventually"
Black Magic,Disintegrate,2,8,Y,-,-,Y,Magic 1-20,Single,MR 2d4,Magic 1-999,-,(gd) MR 2d6,-,-,-,
Black Magic,Terror,2,10,Y,Only Enemy,-,Y,Fear 1-8,Burst 25,(gd) MR 2d6,-,-,-,-,-,-,"Fear Damage is applied against Morale. If the damage roll from fear exceeds the morale of the target, the target panics and runs away"
Black Magic,Arcane Tempest,3,0,Y,Only Enemy,-,-,Blunt 1-3,All Enemies,-,Stun,-,STR 2d4,-,Y,-,Stunned units are immobilized and cannot do anything until they recover. Stunned units have a 75% chance of recovering every round
Black Magic,Death Spell,3,10,Y,-,-,Y,Magic 1-20,Burst 25,-,-,-,-,-,-,-,
Black Magic,Wind of Death,3,10,Y,Only Enemy,-,-,Decay,Burst 100,MR 2d4,-,-,-,-,Y,-,"Units suffering from Decay take 1 point of Damage per combat round until they die. Decay can usually not be survived, but after the battle has ended the effect will run out eventually"
Blood Magic,Blood Boil,1,6,Y,-,Lifeless,Y,Fire 1-15,Single,MR 2d4,-,-,-,-,-,-,
Blood Magic,Leech,1,5,Y,-,Lifeless,Y,Magic 1-6,Single,-,-,-,-,Drain,-,-,"In addition to causing Damage to their targets, life draining attacks add an equal amount of Hit Points to the attacker, healing them of Damage already suffered or augmenting their Hit Points beyond the normal maximum."
Blood Magic,Strength,1,8,Y,-,-,-,Strength +2,Burst 3,-,-,-,-,-,-,-,
Blood Magic,Blood Burst,2,6,Y,-,Lifeless,-,Magic 1-20,Burst 5,(ez) MR 1d5,-,-,-,-,-,-,
Blood Magic,Blood Rush,2,8,Y,-,-,-,Strength +2,Burst 25,-,-,-,-,-,-,-,
Blood Magic,Harm,2,8,Y,-,Lifeless,Y,Magic 1-33,Single,MR 2d4,-,-,-,-,-,-,
Blood Magic,Hellbind Heart,2,6,Y,-,Mindless,-,Enslave,Single,MR 2d4,-,-,-,-,Y,-,Enslaved units immediately switch sides and attack their former comrades
Blood Magic,Lashes of Blood,2,8,Y,-,Lifeless (xEffect only),-,Magic 1-11,3 strikes,-,Profuse Bleeding,-,(gd) MR 2d6,-,-,-,"Bleeding units will take 1 point of Damage per combat round until bleeding stops. Regenerating units will stop bleeding almost immediately, Fast healing units have an increased chance of stopping bleeding"
Blood Magic,Bloodletting,3,0,Y,-,Lifeless,-,Magic 1-6,Entire Battlefield,-,-,-,-,Drain,Y,-,"In addition to causing Damage to their targets, life draining attacks add an equal amount of Hit Points to the attacker, healing them of Damage already suffered or augmenting their Hit Points beyond the normal maximum."
Blood Magic,Rain of Blood,3,0,Y,Only Enemy,-,Y,Fear 1-7,Entire Battlefield,MR 2d4,-,-,-,-,Y,-,"Fear Damage is applied against Morale. If the damage roll from fear exceeds the morale of the target, the target panics and runs away"
Blood Magic,Rupture,3,10,Y,Only Enemy,Lifeless,Y,Magic 1-7,Burst 100,-,-,-,-,-,Y,-,
Bloody Mother,Blessing,1,8,Y,Only Friendly,-,-,Blessing,Burst 9,-,-,-,-,-,-,-,*
Bloody Mother,Leech,1,5,Y,-,Lifeless,Y,Magic 1-6,Single,-,-,-,-,Drain,-,-,"In addition to causing Damage to their targets, life draining attacks add an equal amount of Hit Points to the attacker, healing them of Damage already suffered or augmenting their Hit Points beyond the normal maximum."
Bloody Mother,Regeneration,1,8,Y,Only Friendly,-,-,Regeneration,Single,-,-,-,-,-,-,-,The unit heals roughly 10% of its HP every combat round
Bloody Mother,Strength,1,8,Y,-,-,-,Strength +2,Burst 3,-,-,-,-,-,-,-,
Bloody Mother,Blood Burst,2,6,Y,-,Lifeless,-,Magic 1-20,Burst 5,(ez) MR 1d5,-,-,-,-,-,-,
Bloody Mother,Blood Rush,2,8,Y,-,-,-,Strength +2,Burst 25,-,-,-,-,-,-,-,
Bloody Mother,Greater Blessing,2,8,Y,Only Friendly,-,-,Blessing,Burst 25,-,-,-,-,-,-,-,*
Bloody Mother,Harm,2,8,Y,-,Lifeless,Y,Magic 1-33,Single,MR 2d4,-,-,-,-,-,-,
Bloody Mother,Word of Power,2,4,Y,-,-,-,Paralyzation,Single,(gd) MR 2d6,-,-,-,-,-,-,Paralyzed units are immobilized and cannot do anything until the effect wears off. (10% chance each combat round)
Bloody Mother,Army of Jaguars,3,8,Y,-,Lifeless,Y,Regeneration,Burst 25,-,-,-,-,-,-,-,The unit heals roughly 10% of its HP every combat round
Bloody Mother,Rain of Blood,3,0,Y,Only Enemy,-,Y,Fear 1-7,Entire Battlefield,MR 2d4,-,-,-,-,Y,-,"Fear Damage is applied against Morale. If the damage roll from fear exceeds the morale of the target, the target panics and runs away"
Bloody Mother,Smite,3,5,Y,-,-,Y,Fire 1-50,Single,(gd) MR 2d6,-,-,-,-,-,-,
Command,Confusion,1,8,Y,-,Mindless,-,Confusion,Single,MR 2d4,-,-,-,-,-,-,Confused units do nothing (50% chance) or switch sides (10% chance) or move in a random direction instead of advancing (75%)
Command,Hold,1,6,Y,-,-,-,Stun,3 strikes,(gd) MR 2d6,-,-,-,-,-,-,Stunned units are immobilized and cannot do anything until they recover. Stunned units have a 75% chance of recovering every round
Command,Sleep,1,8,Y,Only Enemy,Mindless,-,Sleep,2 strikes,(gd) MR 2d6,-,-,-,-,-,-,Sleeping units are immobilized. The unit sleeps until it is hit or awakens on its own. (5% chance each combat round)
Command,Bewilderment,2,8,Y,-,Mindless,-,Confusion,6 strikes,MR 2d4,-,-,-,-,-,-,Confused units do nothing (50% chance) or switch sides (10% chance) or move in a random direction instead of advancing (75%)
Command,Enchanted Sleep,2,10,Y,Only Enemy,Mindless,-,Sleep,Burst 25,MR 2d4,-,-,-,-,-,-,Sleeping units are immobilized. The unit sleeps until it is hit or awakens on its own. (5% chance each combat round)
Command,Enslave,2,8,Y,-,Mindless,-,Enslave,Single,MR 2d4,-,-,-,-,-,-,Enslaved units immediately switch sides and attack their former comrades
Command,Mass Command,3,0,Y,-,-,-,Stun,All Enemies,(gd) MR 2d6,-,-,-,-,-,-,Stunned units are immobilized and cannot do anything until they recover. Stunned units have a 75% chance of recovering every round
Command,Mass Confusion,3,10,Y,Only Enemy,Mindless,-,Confusion,Burst 100,MR 2d4,-,-,-,-,-,-,Confused units do nothing (50% chance) or switch sides (10% chance) or move in a random direction instead of advancing (75%)
Command,Mass Control,3,10,Y,-,Mindless,-,Enslave,Burst 25,MR 2d4,-,-,-,-,-,-,Enslaved units immediately switch sides and attack their former comrades
Crystal Sorcery,Air Shield,1,8,Y,Only Friendly,-,-,Air Shield*,Burst 5,-,-,-,-,-,-,-,x%* chance of taking no Damage from normal non-magical missile attacks
Crystal Sorcery,Guide Arrows,1,8,Y,Only Friendly,-,-,Wind Guide,Burst 5,-,-,-,-,-,-,-,"+1 Range, +1 Damage for missiles; Arrows and Javelins will hit target more easily"
Crystal Sorcery,Gust of Wind,1,8,-,-,-,-,Blunt 1-3,Burst 5,-,Stun,-,STR 2d4,-,-,-,Stunned units are immobilized and cannot do anything until they recover. Stunned units have a 75% chance of recovering every round
Crystal Sorcery,Luck,1,8,Y,Only Friendly,-,-,Luck,Single,-,-,-,-,-,-,-,50% chance of not taking any Damage from an attack
Crystal Sorcery,Seeking Arrow,1,6,-,-,-,-,Pierce 1-7,Single,-,-,-,-,-,-,-,
Crystal Sorcery,Swiftness,1,8,Y,-,Lifeless,-,Quickness,Single,-,-,-,-,-,-,-,A unit with quickness will move fast in combat and also avoide about 1/4 of all attacks made against it
Crystal Sorcery,Fortune,2,8,Y,Only Friendly,-,-,Luck,Burst 5,-,-,-,-,-,-,-,50% chance of not taking any Damage from an attack
Crystal Sorcery,Quickening,2,8,Y,-,Lifeless,-,Quickness,Burst 9,-,-,-,-,-,-,-,A unit with quickness will move fast in combat and also avoide about 1/4 of all attacks made against it
Crystal Sorcery,Wind Guide,2,8,Y,Only Friendly,-,-,Wind Guide,Burst 5,-,-,-,-,-,-,-,"+1 Range, +1 Damage for missiles; Arrows and Javelins will hit target more easily"
Crystal Sorcery,Winds,2,8,-,-,-,-,Blunt 1-3,Burst 9,-,Stun,-,STR 2d4,-,-,-,Stunned units are immobilized and cannot do anything until they recover. Stunned units have a 75% chance of recovering every round
Crystal Sorcery,Chain Lightning,3,6,Y,-,-,Y,Shock 1-5,8 bounces range 2,-,-,-,-,-,-,-,
