Category,Type,Command,Hint,Default,Description
Class,Basic,classabdescr,text,,Sets the description for the ability section of the class. The text must be on one line. The ^ symbol may be used for paragraph breaks.
Class,Basic,classdescr,text,,Sets the description for the class. The text must be on one line. The ^ symbol may be used for paragraph breaks.
Class,Basic,hometerr,<terrain nbr>,,Sets the home terrain (home citadel) for the class. This terrain must be a citadel or the player will lose immediately when the game begins. This command is mandatory for a new class.
Class,Basic,setclassname,class name,,'Sets name for the class (e.g. ''Dwarf Queen'' or ''Necromancer'' or ''Baron'') This command must be the first command after creating a new class.'
Class,Income,goldbonus,<percent>,,Percentage bonus to gold income. For example a bonus of 25 means that the class will have a 25% bonus on all gold income like the Baron.
Class,Income,ironbonus,<percent>,,Percentage bonus to iron income. For example a bonus of 25 means that the class will have a 25% bonus on all iron income like the Baron.
Class,Income,tradebonus,<percent>,,Percentage bonus to trade income. For example a bonus of 50 means that the class will have a 50% bonus on all trade income like the Senator.
Class,Recruitment,addcomrec,monster name <chance> <gold> <gold die> <iron>,,Adds a commander to recruitment list.
Class,Recruitment,addmercrec,monster name <chance> <nbr> <gold> <gold die><iron>,,This command works like addunitrec but the recruitment is mercenary and listed in green color. Mercenaries can only be recruited once and do not count against recruitment limits.
Class,Recruitment,addunitrec,monster name <chance> <nbr> <gold> <gold die> <iron>,,Adds a monster to the recruitment list for the active class. The chance is a percentage chance that this unit can be recruited each month. The gold die is an open ended die that will be added to the base gold cost of the unit.
Class,Recruitment,clearrec,,,Clears the recruitment list for the active class.
Class,Recruitment,humancost,<value>,,cost multiplier (100=normal) for human recruitment at special locations (castles desert palaces) 999=impossible
Class,Recruitment,libbonusdescr,text,,This text will be shown as a description of the bonus for owning libraries.
Class,Recruitment,libraryrec,,,The previous entry in recruitment list will have increased chance of occurring depending on the number of libraries owned.
Class,Recruitment,mercboost,<value>,,value 100 = mercs will be twice as frequent -50 = half as frequent
Class,Recruitment,mercpricemult,<value>,,value 2 = mercs will be twice as expensive
Class,Recruitment,nostdtroops,,,Standard troops are not available to the class.
Class,Recruitment,recasschance,<chance>,2,This command sets an absolute value for the chance for recruitment offers from human assassins. The default value is 2.
Class,Recruitment,recherochance,<chance>,1,This command sets an absolute value for the chance for recruitment offers from human heroes. The default value is 1.
